Nazwisko,Liczba wystąpień
KACZMARCZYK,16 796
BOROWSKA,16 705
CIEŚLAK,16 698
GÓRECKA,16 586
CHOJNACKA,16 435
KANIA,16 288
LESZCZYŃSKA,16 247
SZCZEPANIAK,16 215
WESOŁOWSKA,16 165
JANIK,16 160
LIPIŃSKA,16 152
KOWALEWSKA,15 909
KONIECZNA,15 771
MIKOŁAJCZYK,15 770
KOZAK,15 728
MUCHA,15 714
DOMAŃSKA,15 675
KOZIOŁ,15 528
NOWACKA,15 495
JAROSZ,15 396
CIESIELSKA,15 213
KOWALIK,15 204
KOŁODZIEJCZYK,15 122
MARKOWSKA,15 115
MUSIAŁ,15 045
ZIĘBA,15 008
BRZOZOWSKA,14 911
TOMCZYK,14 537
ORŁOWSKA,14 534
TOMCZAK,14 431
MARKIEWICZ,14 416
PAWLIK,14 382
PIĄTEK,14 369
KUREK,14 367
KOPEĆ,14 339
ŻAK,14 277
WAWRZYNIAK,14 172
URBANIAK,14 059
CZAJKOWSKA,14 047
WOLSKA,14 036
KOT,13 885
STANKIEWICZ,13 821
POLAK,13 815
WÓJTOWICZ,13 795
NAWROCKA,13 783
KRUK,13 550
JASTRZĘBSKA,13 513
ŁUCZAK,13 486
WIERZBICKA,13 394
STASIAK,13 368
DZIEDZIC,13 289
SOWA,13 226
KARPIŃSKA,13 204
PIASECKA,13 124
BEDNAREK,12 982
JANICKA,12 809
STEFAŃSKA,12 807
GAJDA,12 798
KLIMEK,12 756
SOSNOWSKA,12 694
BIELECKA,12 690
DOBROWOLSKA,12 569
URBAN,12 539
JÓŹWIAK,12 477
MILEWSKA,12 374
MAJCHRZAK,12 328
MADEJ,12 255
MAJ,12 116
MAŁECKA,12 079
ŚLIWIŃSKA,12 063
LEŚNIAK,12 057
DOMAGAŁA,12 021
KOWAL,11 920
SOCHA,11 767
SKIBA,11 740
MAREK,11 738
BEDNARCZYK,11 583
ROMANOWSKA,11 539
WRONA,11 522
MATUSZEWSKA,11 481
WILCZYŃSKA,11 375
OLEJNICZAK,11 351
RATAJCZAK,11 347
KASPRZAK,11 330
MICHALIK,11 329
PAJĄK,11 227
OWCZAREK,11 083
ŚWIĄTEK,11 075
ORZECHOWSKA,11 031
KUROWSKA,10 974
SOBOLEWSKA,10 954
GRZELAK,10 898
MAZURKIEWICZ,10 834
OLEJNIK,10 818
BUKOWSKA,10 805
BARAŃSKA,10 755
ROGOWSKA,10 753
KĘDZIERSKA,10 752
ŁUKASIK,10 694
MATUSIAK,10 689
KOSIŃSKA,10 590
SKOWROŃSKA,10 519
MARCINKOWSKA,10 429
BEDNARSKA,10 352
JANISZEWSKA,10 327
SOBCZYK,10 308
RYBAK,10 271
CHRZANOWSKA,10 249
MARSZAŁEK,10 205
SROKA,10 199
LISOWSKA,10 180
KOZIEŁ,10 167
ŚWIDERSKA,10 133
MORAWSKA,10 117
CZAJKA,10 107
ZYCH,10 089
CZECH,10 013
MUSZYŃSKA,10 006
KUCZYŃSKA,9 977
KASPRZYK,9 971
GRZYBOWSKA,9 915
BEDNARZ,9 914
OSIŃSKA,9 836
KWIECIEŃ,9 773
PLUTA,9 772
JĘDRZEJEWSKA,9 761
MAŁEK,9 760
MARCZAK,9 758
BIAŁEK,9 748
CHMIEL,9 708
CZAJA,9 688
PALUCH,9 627
KRZEMIŃSKA,9 623
MICHAŁOWSKA,9 620
WITEK,9 618
CIEŚLIK,9 594
DĘBSKA,9 594
KUBICKA,9 588
TUREK,9 577
ŻUKOWSKA,9 576
MARZEC,9 558
JANOWSKA,9 497
PIEKARSKA,9 488
BIERNACKA,9 360
KACZOR,9 355
STEFANIAK,9 308
SZYDŁOWSKA,9 283
STANISZEWSKA,9 246
LEWICKA,9 241
PRZYBYSZ,9 203
RUDNICKA,9 181
LECH,9 148
GOŁĘBIEWSKA,9 145
POPŁAWSKA,9 127
AUGUSTYNIAK,9 109
ŚLIWA,9 102
NIEMIEC,9 087
PODGÓRSKA,9 080
SMOLIŃSKA,9 073
MURAWSKA,9 072
KACPRZAK,9 051
KULESZA,9 026
CZYŻ,9 025
KUJAWA,8 991
PIĄTKOWSKA,8 976
PIETRZYK,8 960
STACHOWIAK,8 926
GOŁĘBIOWSKA,8 884
ŻUREK,8 883
SOWIŃSKA,8 873
SERAFIN,8 871
GÓRA,8 851
MATYSIAK,8 755
KARCZEWSKA,8 706
BANACH,8 664
ROSIŃSKA,8 636
KLIMCZAK,8 628
BANAŚ,8 599
CYBULSKA,8 598
KOMOROWSKA,8 568
RAK,8 537
GODLEWSKA,8 533
BIENIEK,8 530
ŻURAWSKA,8 525
ZAWADA,8 396
GRUSZKA,8 395
GROCHOWSKA,8 389
SKRZYPCZAK,8 386
SZCZĘSNA,8 379
CICHOCKA,8 369
PRZYBYŁA,8 360
DROZD,8 330
CICHOŃ,8 247
KUŚ,8 246
RÓŻAŃSKA,8 239
GÓRKA,8 184
NIEWIADOMSKA,8 169
WINIARSKA,8 116
KULIK,8 112
PANEK,8 094
KRZYŻANOWSKA,8 082
KRAWIEC,8 074
MIELCZAREK,8 068
SIWEK,8 017
PTAK,7 984
KONOPKA,7 957
LEŚNIEWSKA,7 950
FILIPIAK,7 947
STRZELECKA,7 925
ZARZYCKA,7 909
GRACZYK,7 901
MIKOŁAJCZAK,7 873
GIL,7 856
ZAREMBA,7 827
SZCZEPANIK,7 813
SŁOWIK,7 805
TOKARSKA,7 798
ANTCZAK,7 795
MAĆKOWIAK,7 784
SZYMCZYK,7 708
KŁOS,7 707
STAŃCZYK,7 698
BARTKOWIAK,7 671
KACZYŃSKA,7 660
BUCZEK,7 635
GÓRNA,7 606
CIEŚLA,7 596
MŁYNARCZYK,7 595
GRZYB,7 578
SKOWRON,7 548
JANIAK,7 543
BIERNAT,7 517
JANUS,7 508
BANASIAK,7 482
KOSTRZEWA,7 460
SZCZYGIEŁ,7 441
RAKOWSKA,7 433
GĄSIOR,7 426
SZOSTAK,7 422
JUREK,7 414
BOGUSZ,7 411
BARTCZAK,7 406
KRÓLIKOWSKA,7 393
KALETA,7 383
DŁUGOSZ,7 368
WĘGRZYN,7 366
SIENKIEWICZ,7 344
KUCHARCZYK,7 318
KSIĄŻEK,7 309
RÓŻYCKA,7 298
GAWRON,7 294
KUBIK,7 286
FRĄCZEK,7 235
GAWLIK,7 226
KULA,7 177
BAGIŃSKA,7 164
PAŁKA,7 159
DOBOSZ,7 156
ŻEBROWSKA,7 146
ROGALSKA,7 102
WITCZAK,7 098
HAJDUK,7 060
TRZCIŃSKA,7 050
FRANKOWSKA,7 029
ZARĘBA,7 026
TROJANOWSKA,7 022
GAWROŃSKA,7 014
MALISZEWSKA,6 979
MALEC,6 970
GRZEGORCZYK,6 957
RYBICKA,6 955
TKACZYK,6 944
ROGALA,6 940
RZEPKA,6 931
ROJEK,6 924
DUDZIŃSKA,6 906
MIKULSKA,6 894
RADOMSKA,6 887
KACZOROWSKA,6 841
FIJAŁKOWSKA,6 762
FRĄCKOWIAK,6 757
KISIEL,6 749
NAWROT,6 692
WIĘCKOWSKA,6 676
MIKA,6 669
BOGUCKA,6 665
GRZESIAK,6 652
LACH,6 620
BOREK,6 595
CZYŻEWSKA,6 590
GAŁĄZKA,6 590
WĄSIK,6 576
WOJTCZAK,6 573
KWAŚNIEWSKA,6 560
ZABOROWSKA,6 548
BIAŁAS,6 538
STEC,6 514
ROSIAK,6 508
ŚLUSARCZYK,6 476
WÓJCICKA,6 476
BURZYŃSKA,6 462
SOKÓŁ,6 449
LIPSKA,6 425
PIETRAS,6 404
KMIECIK,6 401
KOŁODZIEJSKA,6 394
WNUK,6 382
DĄBEK,6 364
JUSZCZAK,6 342
BOCHENEK,6 336
DRZEWIECKA,6 326
ZAJĄCZKOWSKA,6 322
PAWELEC,6 314
KUBACKA,6 311
WALKOWIAK,6 307
SZAFRAŃSKA,6 301
LASOTA,6 300
ŁUKASIEWICZ,6 295
JANAS,6 285
KARWOWSKA,6 274
SKRZYPEK,6 240
GRUSZCZYŃSKA,6 219
WROŃSKA,6 218
KRYSIAK,6 195
MROCZEK,6 195
CEBULA,6 179
JĘDRZEJCZAK,6 176
MASŁOWSKA,6 172
JAGODZIŃSKA,6 170
DĘBOWSKA,6 167
JĘDRZEJCZYK,6 159
FLIS,6 158
ZYGMUNT,6 153
BIELAWSKA,6 149
CYGAN,6 121
LISIECKA,6 116
KAŁUŻA,6 096
ŁAPIŃSKA,6 092
PIWOWARCZYK,6 090
SKIBIŃSKA,6 080
BOROWIEC,6 078
FILIPEK,6 073
PASTERNAK,6 062
KARAŚ,6 061
JURKIEWICZ,6 050
PIÓRKOWSKA,6 049
KRAKOWIAK,6 027
JAGIEŁŁO,6 019
MISIAK,6 017
CZAPLA,6 016
KUBICA,6 015
WILCZEK,6 008
FALKOWSKA,5 996
ŻMUDA,5 993
SOBIERAJ,5 975
TWARDOWSKA,5 956
BUJAK,5 949
PILARSKA,5 942
URBAŃCZYK,5 936
DROZDOWSKA,5 906
NOWACZYK,5 896
RACZYŃSKA,5 892
CISZEWSKA,5 890
STELMACH,5 889
GAWEŁ,5 885
STRZELCZYK,5 879
ŁUKASZEWSKA,5 877
GUTOWSKA,5 871
ZIELONKA,5 868
BARTOSIK,5 854
WASIAK,5 847
ANDRZEJCZAK,5 799
SZCZEŚNIAK,5 782
BILSKA,5 771
SOŁTYS,5 770
TARNOWSKA,5 763
JAKUBIAK,5 735
SKOCZYLAS,5 729
PAKUŁA,5 728
GĄSIOROWSKA,5 707
MIERZEJEWSKA,5 672
DUBIEL,5 660
GÓRNIAK,5 655
KĘDZIORA,5 655
KOPCZYŃSKA,5 626
MILCZAREK,5 624
SZWED,5 621
BOBER,5 617
GUZIK,5 603
STASZEWSKA,5 599
KRUPIŃSKA,5 591
STANEK,5 591
MAJCHER,5 586
DZIUBA,5 584
CHOLEWA,5 558
STOLARCZYK,5 519
KACZMARSKA,5 515
KAŁUŻNA,5 499
JEZIERSKA,5 492
SŁOWIŃSKA,5 491
JAŚKIEWICZ,5 481
SŁAWIŃSKA,5 466
MATUSZAK,5 451
WIĘCEK,5 442
ZWOLIŃSKA,5 442
GOŁĄB,5 435
RUSIN,5 432
JACKOWSKA,5 430
GÓRAL,5 425
OLCZAK,5 420
FLOREK,5 414
MISZTAL,5 409
SIEDLECKA,5 409
KASZUBA,5 392
RUCIŃSKA,5 387
ZAGÓRSKA,5 386
DOMINIAK,5 365
FLORCZAK,5 361
MOTYKA,5 357
GRZYWACZ,5 343
SIERADZKA,5 332
MALICKA,5 327
PAWLIKOWSKA,5 324
PACZKOWSKA,5 320
WOLAK,5 314
MODZELEWSKA,5 297
KUCHTA,5 294
ŚWIERCZYŃSKA,5 294
BOŻEK,5 290
SOCHACKA,5 277
IWAŃSKA,5 276
PYTEL,5 275
MICHAŁEK,5 245
BIEŃKOWSKA,5 243
KULIG,5 243
JANKOWIAK,5 238
KUC,5 232
DUDZIAK,5 229
KOZA,5 224
KNAPIK,5 220
STĘPNIAK,5 219
CZECHOWSKA,5 205
NOGA,5 204
GWÓŹDŹ,5 187
STACHURA,5 184
JANUSZ,5 182
ADAMUS,5 174
GAŁKA,5 173
SITEK,5 171
PROKOP,5 169
FILIPOWICZ,5 167
KĘPA,5 167
WOJTAS,5 166
JURKOWSKA,5 164
SKÓRA,5 159
PARTYKA,5 155
KWIECIŃSKA,5 148
DUDZIK,5 136
SKALSKA,5 125
SZYSZKA,5 125
DOBRZYŃSKA,5 121
DEC,5 115
PŁONKA,5 114
MAŃKOWSKA,5 100
ADAMEK,5 089
BIELAK,5 087
PASZKOWSKA,5 085
ADAMCZAK,5 068
KAPUSTA,5 064
KOLASA,5 064
STANISŁAWSKA,5 059
BRODA,5 056
MROCZKOWSKA,5 056
WŁODARSKA,5 054
ROSA,5 020
KRUSZEWSKA,5 017
SZATKOWSKA,5 015
KOWALCZUK,5 013
SUSKA,5 008
MAJKA,4 999
TOMALA,4 990
CHOJNOWSKA,4 977
LIPKA,4 964
MOLENDA,4 964
WOŚ,4 962
NIEMCZYK,4 958
SZCZERBA,4 955
PUCHALSKA,4 951
MICHALCZYK,4 928
TRZECIAK,4 924
JANUSZEWSKA,4 902
SKOWRONEK,4 897
KOTOWSKA,4 892
WYSZYŃSKA,4 892
BUCZYŃSKA,4 885
AUGUSTYN,4 884
GŁOGOWSKA,4 872
CHMURA,4 869
LENART,4 863
NIEDZIELSKA,4 860
ADAMOWICZ,4 857
SALAMON,4 831
ZDUNEK,4 823
ZIĘTEK,4 820
ŻUK,4 818
PIECHOTA,4 817
KITA,4 811
KOBUS,4 797
ADAMIAK,4 795
STOLARSKA,4 790
DRABIK,4 788
MAŚLANKA,4 782
KANIEWSKA,4 781
MROZEK,4 781
WARCHOŁ,4 770
PRZYBYŁ,4 757
BANASIK,4 749
KOPER,4 748
BUDZYŃSKA,4 746
WYPYCH,4 740
BĄKOWSKA,4 738
KOŁAKOWSKA,4 724
JAGIELSKA,4 719
SOŁTYSIAK,4 717
KOGUT,4 715
DRÓŻDŻ,4 707
PILCH,4 696
NIEDŹWIECKA,4 695
BUCZKOWSKA,4 673
MIŚKIEWICZ,4 673
GRZESIK,4 670
GORCZYCA,4 661
TOKARZ,4 659
KIEŁBASA,4 658
MALIK,4 654
RUDZIŃSKA,4 643
KAWA,4 630
ROBAK,4 630
MARCHEWKA,4 624
CHUDZIK,4 623
STAŃCZAK,4 617
PORĘBSKA,4 614
SOJKA,4 614
KŁOSOWSKA,4 611
BIAŁKOWSKA,4 605
URBANEK,4 605
KALISZ,4 604
JARZĄBEK,4 597
DĄBKOWSKA,4 596
PIŁAT,4 592
JURCZAK,4 589
MACIĄG,4 589
BALCERZAK,4 576
CICHA,4 575
CZEKAJ,4 574
CZERNIAK,4 573
KASPEREK,4 570
GŁĄB,4 565
FRĄTCZAK,4 552
BARTNIK,4 548
GADOMSKA,4 545
STACHURSKA,4 537
JAROS,4 534
TRACZ,4 531
GOLEC,4 528
KUŹMA,4 525
KORZENIOWSKA,4 516
WIĄCEK,4 514
URBANOWICZ,4 511
KUCIŃSKA,4 499
BŁASZCZAK,4 496
OLCZYK,4 492
WOLIŃSKA,4 484
PIETRUSZKA,4 480
PAWLICKA,4 461
SURMA,4 459
OSSOWSKA,4 457
RUDZKA,4 454
SZELĄG,4 450
ŻYŁA,4 447
RYBARCZYK,4 438
STACHOWICZ,4 436
KOPACZ,4 425
ZABŁOCKA,4 423
MOSKAL,4 420
ALEKSANDROWICZ,4 414
SZYMKOWIAK,4 405
PIOTROWICZ,4 402
BIELSKA,4 401
RYŚ,4 396
BUDZIŃSKA,4 389
GRUDZIEŃ,4 388
KOSTECKA,4 387
ŚLĘZAK,4 375
MACKIEWICZ,4 374
KOSOWSKA,4 372
KOS,4 371
RADECKA,4 370
MAGIERA,4 360
WOJTKOWIAK,4 353
WARZECHA,4 349
LESIAK,4 345
PRUS,4 345
WOŹNICA,4 339
KULIŃSKA,4 320
GRZEŚKOWIAK,4 318
BIELIŃSKA,4 314
MILLER,4 313
JURCZYK,4 306
KAWECKA,4 305
KUJAWSKA,4 304
RUDNIK,4 301
TRELA,4 297
NAPIERAŁA,4 289
SĘK,4 287
SOBAŃSKA,4 285
WOJTASIK,4 279
PELC,4 275
KOZIK,4 274
SOBOTA,4 262
KMIEĆ,4 253
STAWICKA,4 250
KRASOWSKA,4 249
KRAKOWSKA,4 244
GRUDZIŃSKA,4 240
TOMASIK,4 238
SEKUŁA,4 237
OLEKSY,4 229
WOLNA,4 228
HERMAN,4 226
PEŁKA,4 221
SKORUPA,4 219
FURMAN,4 212
SZUBA,4 212
WOŁOSZYN,4 207
POGORZELSKA,4 195
GUT,4 179
ŚMIGIELSKA,4 170
MIERZWA,4 164
ŚWIĄTKOWSKA,4 164
PIWOWARSKA,4 162
ROMAN,4 158
BANASZEK,4 156
BISKUP,4 147
LITWIN,4 143
SZWARC,4 140
IZDEBSKA,4 129
ŁUKASZEWICZ,4 122
HOFFMANN,4 121
KRUCZEK,4 099
RATAJCZYK,4 097
KRUKOWSKA,4 095
KAWKA,4 079
JUSZCZYK,4 064
NIEDZIELA,4 059
PIĘTKA,4 047
STUDZIŃSKA,4 046
ROSZAK,4 043
MAKUCH,4 038
WERNER,4 035
MAŃKA,4 031
LORENC,4 030
ŚWIDER,4 023
WIŚNIOWSKA,4 023
KRÓLAK,4 013
ROSZKOWSKA,4 005
SIWIEC,4 005
DUSZYŃSKA,3 999
JÓŹWIK,3 986
KARCZ,3 986
SZOT,3 983
SZAREK,3 981
WRZESIŃSKA,3 977
LISZKA,3 974
POLAŃSKA,3 974
JEZIORSKA,3 971
PAPROCKA,3 971
ROŻEK,3 956
SCHMIDT,3 955
KWIATEK,3 944
BOBROWSKA,3 931
BOGACZ,3 930
ADAMIEC,3 925
KORZENIEWSKA,3 923
ŻUCHOWSKA,3 916
JAKUBCZYK,3 912
NOWIŃSKA,3 905
WOŹNA,3 902
GRABARCZYK,3 900
TUROWSKA,3 900
FILIP,3 899
KOSMALA,3 899
KRASZEWSKA,3 899
SIDOR,3 899
BURY,3 892
KNAP,3 892
KORCZAK,3 882
RUSEK,3 877
DROŻDŻ,3 870
WOJDA,3 870
PASZKIEWICZ,3 867
KRUSZYŃSKA,3 866
MIELCAREK,3 855
GRODZKA,3 847
GACEK,3 845
TKACZ,3 845
WACH,3 838
RZEPECKA,3 832
BOGDAŃSKA,3 827
LANGE,3 824
KUSIAK,3 820
GRZYBEK,3 815
GOLA,3 806
ŚPIEWAK,3 802
KUKLA,3 800
LEWIŃSKA,3 800
KOZAKIEWICZ,3 792
MAŁKOWSKA,3 792
ROGOZIŃSKA,3 790
SZOPA,3 788
KĘDZIOR,3 784
SZELIGA,3 784
JAKUBIEC,3 769
BORYS,3 766
OLECH,3 760
ROMAŃSKA,3 756
WAGNER,3 756
ŚLEDŹ,3 754
JANCZAK,3 752
TOKARCZYK,3 740
WOJTOWICZ,3 738
PERKOWSKA,3 736
DYMEK,3 732
GĄSIOREK,3 730
BILIŃSKA,3 729
RYBKA,3 728
SZKUDLAREK,3 728
KAPUŚCIŃSKA,3 725
LIPIEC,3 722
GŁADYSZ,3 718
SZYMANEK,3 718
SKONIECZNA,3 717
FLAK,3 716
DUTKIEWICZ,3 713
WASIELEWSKA,3 713
RACZKOWSKA,3 710
KURZAWA,3 706
STASZAK,3 705
RADZISZEWSKA,3 700
BARTOSZEK,3 696
AMBROZIAK,3 694
SZCZUREK,3 691
MAZIARZ,3 688
POTOCKA,3 684
ADAMCZEWSKA,3 678
KONARSKA,3 675
PISAREK,3 675
WYRZYKOWSKA,3 673
RESZKA,3 671
PUCHAŁA,3 669
MAJKOWSKA,3 665
KAŹMIERSKA,3 658
SMOLEŃ,3 656
BUGAJSKA,3 655
DZIKOWSKA,3 652
SUCHECKA,3 652
KAROLAK,3 650
WAJDA,3 650
KOKOT,3 648
PIECH,3 647
CZARNOTA,3 632
KUPIEC,3 629
WRZOSEK,3 629
ROKICKA,3 627
KULPA,3 621
FIGURA,3 620
PĘKALA,3 620
KALIŃSKA,3 611
PLICHTA,3 603
BIAŁECKA,3 600
DZIURA,3 598
BANASZAK,3 597
JASKULSKA,3 595
KAWALEC,3 595
KĘPKA,3 594
STOKŁOSA,3 592
KOCHAŃSKA,3 590
OLSZAK,3 587
SZYMANOWSKA,3 583
KOKOSZKA,3 576
DOLATA,3 575
PIERZCHAŁA,3 574
PIECHOCKA,3 573
SOLECKA,3 570
RODAK,3 564
FERENC,3 559
GOLIŃSKA,3 552
BUGAJ,3 543
BALICKA,3 530
PARADOWSKA,3 528
PASEK,3 525
MĄCZKA,3 522
BRZESKA,3 521
ZBOROWSKA,3 520
PŁATEK,3 517
KRAUZE,3 513
KOLASIŃSKA,3 512
SUŁKOWSKA,3 511
WASZKIEWICZ,3 510
BIAŁA,3 507
BOJARSKA,3 502
WOJTASZEK,3 500
DOLIŃSKA,3 498
BRODOWSKA,3 495
BARSZCZ,3 491
SZCZYGIELSKA,3 490
OSOWSKA,3 487
JAROSZEWSKA,3 486
GÓRALCZYK,3 482
STĘPNIEWSKA,3 471
GABRYŚ,3 470
BIELA,3 468
CHROBAK,3 460
LASEK,3 457
WIELGUS,3 456
KEMPA,3 450
WEBER,3 448
ŚWIERCZEK,3 446
ROMANIUK,3 445
SZYMANIAK,3 443
CICHOSZ,3 442
PISZCZEK,3 442
FIGIEL,3 436
MORAWIEC,3 436
WALCZYK,3 436
SZADKOWSKA,3 428
SMOLAREK,3 426
KOSTKA,3 422
PISKORZ,3 421
KOPROWSKA,3 419
MACH,3 418
ZARĘBSKA,3 418
ZIMNA,3 418
ŁAWNICZAK,3 417
LACHOWICZ,3 412
TRACZYK,3 411
CIOŁEK,3 406
GARBACZ,3 405
WÓJCIAK,3 405
OSUCH,3 403
ĆWIKLIŃSKA,3 402
LOREK,3 399
ORZEŁ,3 397
BROŻEK,3 391
PASZEK,3 391
SZPAK,3 382
WDOWIAK,3 381
SUROWIEC,3 380
BARON,3 377
GOŁĄBEK,3 377
SUDOŁ,3 377
ŁOŚ,3 376
KOZERA,3 370
PIĘTA,3 369
BATOR,3 364
ANTONIAK,3 363
MROWIEC,3 362
BERNAT,3 360
MULARCZYK,3 357
GRELA,3 356
GRUCA,3 356
KOŁODZIEJCZAK,3 356
MYŚLIWIEC,3 354
GRABSKA,3 353
STACHOWSKA,3 351
JAMRÓZ,3 349
OŻÓG,3 348
GLIŃSKA,3 346
ZAPAŁA,3 346
BUREK,3 343
MODRZEJEWSKA,3 340
BŁAŻEJEWSKA,3 339
WACHOWIAK,3 339
DOBRZAŃSKA,3 335
SALA,3 335
BURDA,3 334
GALIŃSKA,3 331
PÓŁTORAK,3 328
ZAWISZA,3 326
WĄSOWSKA,3 325
FILIPCZAK,3 321
NADOLSKA,3 319
CZAPLIŃSKA,3 317
ŚWITAŁA,3 315
MATUSIK,3 314
GAŁECKA,3 313
FRANCZAK,3 312
KOCHANOWSKA,3 312
OLEŚ,3 307
WINNICKA,3 307
NIEZGODA,3 303
ZASADA,3 303
JEDYNAK,3 301
KULIKOWSKA,3 293
KOZYRA,3 291
BŁOŃSKA,3 290
GAJ,3 287
MUSIOŁ,3 287
BARTOSIEWICZ,3 283
GAZDA,3 282
PLEWA,3 282
KAZIMIERCZAK,3 281
CZUBA,3 276
OKOŃ,3 276
TYMIŃSKA,3 276
GRYGIEL,3 270
ZAWISTOWSKA,3 270
ŁACH,3 267
WALIGÓRA,3 246
BARTNICKA,3 245
KRASKA,3 234
NALEPA,3 234
SOBOCIŃSKA,3 232
KAPICA,3 228
JASKÓLSKA,3 225
SZUBERT,3 223
BERNACKA,3 218
IWANOWSKA,3 217
SZWEDA,3 209
WŁOCH,3 207
MAJDA,3 206
MATCZAK,3 205
PIETRZYKOWSKA,3 201
KOZICKA,3 200
KOŚCIELNIAK,3 199
FRANKIEWICZ,3 198
KOSTRZEWSKA,3 198
KRÓLIK,3 195
GAJEK,3 191
BIEL,3 188
MIECZKOWSKA,3 188
SKWAREK,3 188
SZCZEPANEK,3 186
TUSZYŃSKA,3 185
SARNOWSKA,3 183
ĆWIK,3 181
MARCZEWSKA,3 181
STENCEL,3 179
BIEŃ,3 178
KLIMAS,3 178
PASTUSZKA,3 178
DOMAGALSKA,3 176
WIELGOSZ,3 173
DUSZA,3 172
BOROŃ,3 169
KLIMASZEWSKA,3 169
RÓG,3 163
MŁYNARSKA,3 159
SITKO,3 157
GOŁASZEWSKA,3 154
SKORUPSKA,3 152
DRĄG,3 151
JANECZEK,3 148
MIŚ,3 148
PRZYBYSZEWSKA,3 146
PODSIADŁO,3 139
NADOLNA,3 132
OGÓREK,3 131
GALAS,3 128
BŁASZKIEWICZ,3 125
WCISŁO,3 124
SŁOMIŃSKA,3 123
WISZNIEWSKA,3 123
JACKIEWICZ,3 122
SOBCZYŃSKA,3 121
DANIEL,3 117
IWANICKA,3 117
OZGA,3 117
LEMAŃSKA,3 111
WILCZEWSKA,3 110
STRZAŁKOWSKA,3 107
SPYCHAŁA,3 106
ANTKOWIAK,3 102
BOGDAN,3 093
SEWERYN,3 093
NYCZ,3 091
RYCHLIK,3 088
RADZIKOWSKA,3 087
ZAWIŚLAK,3 087
KRAUSE,3 085
PIEŃKOWSKA,3 085
RYBIŃSKA,3 085
GAŁUSZKA,3 082
TURSKA,3 076
MAKAREWICZ,3 075
GÓRALSKA,3 072
NEUMANN,3 071
NOSAL,3 066
RADWAŃSKA,3 066
KŁOSIŃSKA,3 064
RYBA,3 061
KLUSKA,3 058
LUDWICZAK,3 056
SŁOMKA,3 056
MIKUŁA,3 055
WYDRA,3 054
KORNACKA,3 052
MACHNIK,3 051
WALAS,3 046
BARTKOWSKA,3 042
KOŁACZ,3 042
TABOR,3 040
KASPERSKA,3 034
RUMIŃSKA,3 033
SZAFRAN,3 029
ZALESKA,3 027
BOJANOWSKA,3 026
BRYŁA,3 025
ZIOMEK,3 020
ŁUGOWSKA,3 019
PILARCZYK,3 019
MISZCZAK,3 017
ROKITA,3 016
DUDKIEWICZ,3 014
GUZ,3 014
SOBOŃ,3 014
GIZA,3 013
ŚLIWKA,3 013
LEWCZUK,3 010
CZUBAK,3 009
RYBACKA,3 008
BACZYŃSKA,3 007
FURTAK,3 005
BUDA,3 004
